Mandarin	Vietnamese
瓦特	Watt
墨西哥	Mexico
莫	mạc
少	ít
请	làm ơn
请	xin
牙	răng
牙齿	răng
齿	răng
刚果民主共和国	Cộng hoà Dân chủ Congo
保罗·马尔蒂尼	Paolo Maldini
马	mã
残忍	độc ác
残酷	độc ác
美国最高法院	Tối cao Pháp viện Hoa Kỳ
芬芳	hương thơm
芬芳	mùi thơm
芬芳	hương vị
芳泽	hương thơm
芳泽	mùi thơm
芳泽	hương vị
香气	hương thơm
香气	mùi thơm
香气	hương vị
芳味	hương thơm
芳味	mùi thơm
芳味	hương vị
香味	hương thơm
香味	mùi thơm
香味	hương vị
芬郁	hương thơm
芬郁	mùi thơm
芬郁	hương vị
芬香	hương thơm
芬香	mùi thơm
芬香	hương vị
芳气	hương thơm
芳气	mùi thơm
芳气	hương vị
香水	nước thơm
香水	nước hoa
古老波斯文	Tiếng Ba Tư cổ
巴利文	Tiếng Pali
波兰文	Tiếng Ba Lan
帕拉维文	Tiếng Pahlavi
邦板牙文	Tiếng Pampanga
帕皮亚门托文	Tiếng Papiamento
帕劳文	Tiếng Palauan
波纳佩文	Tiếng Pohnpeian
FreeBSD	FreeBSD
诸葛亮	Gia Cát Lượng
日出	bình minh
日出	lúc mặt trời mọc
宿迁市	Tú Thiên
迈克尔学摇滚	Michael Learns to Rock
皮耶路易吉·科利纳	Pierluigi Collina
星期三	thứ tư
甲虫	bọ cánh cứng
Emacs	Emacs
航空公司	công ty hàng không
黑海	Biển Đen
桦甸市	Hoa Điện
结合律	kết hợp
兰斯·阿姆斯特朗	Lance Armstrong
英瓦尔·坎普拉德	Ingvar Kamprad
不行了	cái chết
临危	cái chết
垂死	cái chết
奄奄一息	cái chết
气绝	cái chết
差不多	gần
差不多	gần như
几乎	gần
几乎	gần như
算盘	bàn tính
手	bàn tay
斗争	chiến tranh
战争	chiến tranh
打	chiến đấu
军队	quân đội
面团	dán
蜜蜂	ong
美杜莎	Medusa
萍	bềnh
帝国	đế quốc
帝国	đế quốc
𠮿	xôn
美洲世界遗产	Danh sách di sản thế giới tại châu Mỹ
知识库文章	bài KB
知识库(KB)	KB
KB	KB
知识库	KB
知识库	KB
枣椰树	Chi Chà là
石油输出国组织	Tổ chức các nước xuất khẩu dầu lửa
科	khoa
垢	cáu
八仙	Bát Tiên
GN	GN
转到	đi
字形	hình chữ
破	phá
十月	Sene
九月	Genbot
酒店	tửu quán
客栈	tửu quán
酒馆	tửu quán
比约恩斯彻纳·比约恩松	Bjørnstjerne Bjørnson
八月	Miazia
六月	Yekatit
三月	Hedar
十二月	Nehasse
帆	buồm
桅杆	cột buồm
港	cảng
港口	cảng
锚	neo
登陆	hạ cánh
主格	nguyên cách
晓	Akatsuki
消毒	tẩy uế
Exchange Web 服務	Các Dịch vụ Web Truy cập Microsoft Exchange
Exchange Web Services	Các Dịch vụ Web Truy cập Microsoft Exchange
Exchange 系统管理器	Bộ quản lý Hệ thống Exchange
Exchange 存储	Hệ lưu trữ trong Exchange
排除	dành riêng
图画	hình vẽ
图片	hình vẽ
查谟-克什米尔邦	Jammu và Kashmir
那格浦尔	Nagpur
把	bã
把	bã
抇	nhặt
抆	vặn
把	bã
抉	khoét
抉	khoét
抈	ngoắt
喜多郎	Kitaro
上周二	Thứ Ba tuần trước
上周一	Thứ Hai tuần trước
皮	bì
瓢虫	người hiền
瓢虫	nhu-nhược
颌	quai hàm
颌	xương hàm
颌	hàm
下颚	quai hàm
下颚	xương hàm
下颚	hàm
颚	quai hàm
颚	xương hàm
颚	hàm
夏尔·波德莱尔	Charles Baudelaire
畜	chuỗi
畜	súc
黄鹤楼	Hoàng Hạc lâu
刚果河	Sông Congo
克格勃	KGB
站起来	lên
升起	lên
擡	nâng
抬	nâng
举	nâng
提	nâng
摇	làm rung
摇晃	làm rung
晃	làm rung
流	chảy
扔	vứt
接住	bắt
抓住	bắt
鼠标	chuột
黑的	đen
漆黑的	đen
湾	vịnh
海湾	vịnh
极限	giới hạn
拗	húc
报春花目	Bộ Anh thảo
柚子	bưởi
许银川	Hứa Ngân Xuyên
格勒诺布尔	Grenoble
亚瑟·叔本华	Arthur Schopenhauer
SCW	SCW (viết tắt của Bảng cài đặt cấu hình bảo mật)
資訊安全設定精靈 (SCW)	SCW (viết tắt của Bảng cài đặt cấu hình bảo mật)
大角星	Arcturus
庚子	Canh Tý
所罗门群岛	Quần đảo Solomon
越南人口	Thông tin nhân khẩu học Việt Nam
紫式部	Murasaki Shikibu
SourceForge	SourceForge
双颊果科	Họ Song giáp
新西兰元	Đô la New Zealand
呆	ngốc
黄帝	Hoàng Đế
房子	nhà
家	nhà
TDD	TDD
TCP/IP	TCP/IP
南洋杉科	Họ Bách tán
剖腹产	mổ Cesar
剖腹产	mổ bắt con
剖腹产	mổ lấy thai
曼恩-卢瓦尔省	Maine-et-Loire
凤凰	Phượng hoàng
舞-HiME	Mai-HiME
柬埔寨	Campuchia
规则	quy tắc
规则	quy luật
萨瓦多尔·夸西莫多	Salvatore Quasimodo
榴弹炮	lựu pháo
疲	bì
木野真琴	Thủy thủ Mặt Trăng
法	pháp
瓜德罗普	Guadeloupe
巴布亚新几内亚	Papua New Guinea
海水	nước biển
瞋	trân
水	nước
水源	nước
上海外滩	Bến Thượng Hải
维他命	sinh tố
维他命	vitamin
维生素	sinh tố
维生素	vitamin
名词	danh từ
硅	silic
矽	silic
百合科	họ loa kèn
噩梦	ác mộng
恶梦	ác mộng
橙色书本	sách màu cam
喟	vị
CorelDRAW	CorelDRAW
海狗	hải cẩu
摩托	xe mô tô
摩托	mô tô
机器脚踏车	xe mô tô
机器脚踏车	mô tô
摩托车	xe mô tô
摩托车	mô tô
电单车	xe mô tô
电单车	mô tô
机车	xe mô tô
机车	mô tô
巴肯寺	Phnom Bakheng
莫斯科	Mạc Tư Khoa
莫斯科	Mát-xcơ-va
莫斯科	Moskva
繁忙	bận rộn
忙	bận rộn
醝	say
科科斯（基林）群岛	Quần đảo Cocos (Keeling)
燕青	Yến Thanh
Visa	VISA
细菌	vi khuẩn
亲戚	họ hàng
传输规则	quy tắc truyền dẫn
傳輸規則	quy tắc truyền dẫn
兵马	chiến tranh
战争	chiến tranh
酸奶	sữa chua
伊比利亚半岛	Bán đảo Iberia
呞	te
中央	giữa
消失	biến mất
走	biến mất
去	đi
路加福音	Phúc âm Luca
雇员	nhân viên
职员	nhân viên
共产主义国家	Hệ thống xã hội chủ nghĩa
培	bồi
基	cơ
培	bồi
喜马拉雅山脉	Himalaya
微波	vi ba
微波	máy hâm nóng
微波烤箱	lò vi sóng
微波烤箱	lò vi ba
微波炉	lò vi sóng
微波炉	lò vi ba
罗马	Rome
咖啡	cà phê
艾马拉文	Tiếng Aymara
阿塞拜疆文	Tiếng Ai-déc-bai-gian
阿萨姆文	Tiếng Assam
802.1X	802.1X
8位(256)色	mầu 8-bit
婢	tì
难得	ít khi
医院	nhà thương
医院	bệnh viện
RUB	RUB
₽	₽
RSD	RSD
俄罗斯卢布	Rúp Nga
俄罗斯卢布	Rúp Nga
RON	RON
泰卢固文	tiếng Telugu
泰卢固语	tiếng Telugu
土库曼文	tiếng Tuôcmen
土库曼语	tiếng Tuôcmen
英语	tiếng Anh
英文	tiếng Anh
亚美尼亚文	tiếng Ác-mê-ni
亚美尼亚语	tiếng Ác-mê-ni
沕	vắt
威廉·克理	William Carey
规则	quy tắc
规则	quy luật
规则	qui tắc
规律	quy tắc
规律	quy luật
规律	qui tắc
丹麦	Đan Mạch
澳大利亚历史	Lịch sử châu Úc
烛台	chúc đài
艾吉·尼尔斯·玻尔	Aage Niels Bohr
䇻	vỉ
喝	uống
饮	uống
喝	uống rượu
喝	uống say
族	tộc
灌木	cây bụi
伄儅	ít khi
很少	ít khi
陀螺	đánh quay
万象	Viêng Chăn
永珍	Viêng Chăn
维也纳	Viên
SSH	SSH
孙权	Tôn Quyền
证人	nhân chứng
亚洲	Châu Á
吉普赛人	dân gipxi
吉普赛人	digan
吉普赛人	người Di Gan
吉普赛人	dân gipsi
洮	rệu
黑麂	Mang đầu lông
简称	từ viết tắt
救	cứu
木	mộc
曲棍球	khúc côn cầu
龙岗区	Long Cương
稽	ghê
天鹰座	Thiên Ưng
SUSE	SuSE
亚洲人	người Á châu
亚裔	người Á châu
方块A	át rô
黑桃A	át bích
淀粉	tinh bột
数字	số
大选	cuộc tuyển cử
选举	cuộc tuyển cử
地址	địa chỉ
信	thư
明信片	bưu thiếp
信封	phong bì
北回归线	Chí tuyến Bắc
北回归线	Hạ Chí Tuyến
瑙鲁时间	Giờ Nauru
尼泊尔时间	Giờ Nepal
古新世	Thế Paleocen
半索动物门	Ngành Động vật nửa dây sống
季	Quý
武器	vũ khí
方舟	tàu
纪元	Thời đại
年	Năm
以前	trước khi
以前	trước
之前	trước khi
之前	trước
各	hàng
各	từng
每隔	hàng
每隔	từng
每	hàng
每	từng
撩	lêu
悬铃木科	Họ Tiêu huyền
欧洲	Châu Âu
喇叭	sừng
喇叭	râu
互联网协会	Internet Society
活	hoạt
旅	du lịch
旅游	du lịch
旅行	du lịch
游	du lịch
黑猩猩	tinh tinh
雌	thư
雉	trĩ
民主女神	Nữ thần Dân chủ
下巴颏	cằm
下巴	cằm
颔	cằm
云南省	Vân Nam
半导体	chất bán dẫn
汉口	Hán Khẩu
海因里希·希姆莱	Heinrich Himmler
AES	AES
Aero	Aero
Aero 向导	Thuật sĩ Aero
冷气机	điều hoà nhiệt độ
冷气机	điều hoà
冷气机	máy lạnh
空调	điều hoà nhiệt độ
空调	điều hoà
空调	máy lạnh
泥土	đất
蟋蟀	dế
蟋蟀	con dế
𠲔	nhiếc
𠲖	e
𠲏	nhắm
冰球	khúc côn cầu
曲棍球	khúc côn cầu
汤	canh
汤	soup
轴	trục
鲑鱼	cá hồi
三文鱼	cá hồi
带宽	thông lượng
玛瑙果科	Achatocarpaceae
椰菜花	bông cải trắng
椰菜花	hoa lơ
椰菜花	hoa lơ trắng
花椰菜	bông cải trắng
花椰菜	hoa lơ
花椰菜	hoa lơ trắng
花菜	bông cải trắng
花菜	hoa lơ
花菜	hoa lơ trắng
菜花	bông cải trắng
菜花	hoa lơ
菜花	hoa lơ trắng
关胜	Quan Thắng
东德奥斯特马克	Đồng Mark Đông Đức
Kč	Kč
香港	Hồng Kông
洪都拉斯	Honduras
汽油	xăng
䰠	thiên chúa
天仙	thiên chúa
神	thiên chúa
神明	thiên chúa
芭蕉科	Họ Chuối
网罟座	Võng Cổ
交差点	ngã tư
交叉	ngã tư
路口	ngã tư
国王	quốc vương
国王	vua
路易·巴斯德	Louis Pasteur
王妃	công chúa
王妃	bà chúa
公主	công chúa
公主	bà chúa
校长	hiệu trưởng
隔墙	tường
墙壁	tường
墙	tường
榩	kiền
庆阳市	Khánh Dương
亚当	Adam
进口	nhập khẩu
进口	nhập cảng
输入	nhập khẩu
输入	nhập cảng
皇后	Hậu
后	Hậu
魁北克市	Québec
魁北克	Québec
吉尔吉斯斯坦	Kyrgyzstan
比	tỉ
多少	hơi
几分	hơi
有所	hơi
有点	hơi
有些	hơi
饥饿	đói
饥	đói
饿	đói
绝食	tuyệt thực
注意	chú ý
眼	cua
眼	nhản
遷移	di chuyển
迁移	di chuyển
天箭座	Thiên Tiễn
足够	đủ
充足	đủ
够	đủ
氙	xenon
打印区域	khu vực in
劳尔·冈萨雷斯·布兰科	Raúl González
可口可乐	Coca-Cola
锦标赛	chức vô địch
阿尔泰	Altay
河鼓二	Sao Ngưu Lang
冬菇	nấm hương
冬菇	nấm đông cô
香菇	nấm hương
香菇	nấm đông cô
萨洛蒙·卡卢	Salomon Kalou
塔加路文	Chữ Tagalog
提非纳文	Chữ Tifinagh
藏文	Chữ Tây Tạng
根資料夾	cặp hồ sơ gốc
根元素	phần tử gốc
根目录	danh mục gốc
冷	lạnh
况	huống
哥斯拉	Godzilla
青浦区	Thanh Phố
萾	giềng
落	lạc
落	lạc
荞麦	kiều mạch
荞麦	lúa mạch
Live Search	Live Search
克	khắc
克	khắc
狮	con sư tử đực
狮子	con sư tử đực
唐玄宗	Đường Huyền Tông
泰语	tiếng Thái-lan
先	tiên
做	làm
做	thực hiện
摩洛哥	Ma-rốc
光	quang
足球	bóng đá
充	sung
比	tỉ
下莱茵省	Bas-Rhin
BBCode	BBCode
努诺·戈麦斯	Nuno Gomes
塘	đường
塘	đường
弗拉基米尔·科马洛夫	Vladimir Mikhailovich Komarov
法文	Tiếng Pháp
弗里斯兰文	Tiếng Frisian
沙巴卡	Shabaka
SRD	SRD
苏里南元	Đô la Suriname
SOS	SOS
索马里先令	Schilling Somali
苏里南元	Đô la Suriname
海盗	cướp biển
海盗	kẻ cướp biển
海贼	cướp biển
海贼	kẻ cướp biển
盗版业者	cướp biển
盗版业者	kẻ cướp biển
弗兰克·劳埃德·莱特	Frank Lloyd Wright
上帝	Thiên Chúa
天主	Thiên Chúa
叫醒	dậy lên
叫醒	dậy
叫醒	thức dậy
唤醒	dậy lên
唤醒	dậy
唤醒	thức dậy
喭	ngán
可再生能源	Năng lượng tái tạo
医生	bác sĩ
传感器	cảm biến
和	và
及	và
以及	và
平静	yên tĩnh
治安	trật tự
治安	yên ổn
平静	trật tự
平静	yên ổn
和平	hoà bình
和平	hòa bình
和睦相处	hoà bình
和睦相处	hòa bình
星期一	thứ hai
星期五	thứ sáu
翻译	bản dịch
译文	bản dịch
爱丽舍宫	Điện Élysée
汉朝	Nhà Hán
豌豆	cây đậu
豌豆	đậu
帆船	thuyền buồm
划艇	thuyền chèo
小号	kèn
喇叭	kèn
亚历山大·弗莱明	Alexander Fleming
喑	ầm
厨房	nhà bếp
阿塞拜疆马纳特	Manat Azerbaijan
氯仿	clorofom
背景	nền
触摸屏训练	huấn luyện chạm
炸药	mìn
炸药	đinamit
朝	vương triều
朝	triều đại
朝代	vương triều
朝代	triều đại
王朝	vương triều
王朝	triều đại
公制品脱	mpt
埃德蒙顿	Edmonton
夸脱	qt
品脱	pt
杯	c
李云	Lý Vân
薏	é
普朗克常数	hằng số Planck
意大利	Ý
包心菜	cải bắp
洋白菜	cải bắp
高丽菜	cải bắp
卷心菜	cải bắp
捲心菜	cải bắp
中华人民共和国国务院	Chính phủ Trung Quốc
钴	coban
歌剧	opera
拉丁字母键	chữ la tinh
童军	Hướng đạo
匈牙利国旗	Quốc kỳ Hungary
宏村	Thôn Tây Đệ
半径	bán kính
汨	nhặt
布吉文	Tiếng Bugin
阿灿文	Tiếng Atsam
巴勒比文	Tiếng Carib
车臣文	Tiếng Chechen
串	xuyến
串	xuyến
边和市	Biên Hòa
咸	mặn
昭拍耶河	Sông Chao Phraya
六十	sáu mươi
佩尔韦兹·穆沙拉夫	Pervez Musharraf
卖火柴的小女孩	Cô bé bán diêm
优格	sữa chua
酥酪	sữa chua
酸乳	sữa chua
酸乳酪	sữa chua
酸奶	sữa chua
月	tháng
土耳其大国民议会	Hội nghị Đại quốc dân Thổ Nhĩ Kỳ
𧑒	giun
加尔各答	Kolkata
攀枝花市	Phàn Chi Hoa
阿拉伯联合酋长国	A-rập TN Ê-mi-rát
阿拉伯联合酋长国	A-rập thống nhất Ê-mi-rát
阿联酋	A-rập TN Ê-mi-rát
阿联酋	A-rập thống nhất Ê-mi-rát
阿联酋长国	A-rập TN Ê-mi-rát
阿联酋长国	A-rập thống nhất Ê-mi-rát
渔钩	lưỡi câu
牛奶	sữa
捷克	Cộng hoà Czesk
阿富汗	Afghanistan
阿富汗	Áp-ga-ni-xtan
海岸	đường lao
海岸	sự lao dốc
海岸	sự lao xuống
海岸	bờ biển
岸	đường lao
岸	sự lao dốc
岸	sự lao xuống
岸	bờ biển
复活节岛夏令时间	Giờ Mùa Hè Đảo Phục Sinh
10月	Dey
排序	Sắp xếp
排序顺序	thứ tự sắp xếp
排序	Sắp xếp
声卡	bảng mạch âm thanh
雪	tuyết
糖果	kẹo
獴	mangut
猫鼬	mangut
丁汝昌	Đinh Nhữ Xương
瓶	chai
瓶子	chai
隋炀帝	Tùy Dạng đế
北达科他州	Bắc Dakota
凯文·基冈	Kevin Keegan
游泳池	bể bơi
游泳池	hồ bơi
赵述島	Đảo Cây
汤加标准时间	Giờ Chuẩn Tonga
奶昔	trộn
奶昔	loại kem sưa
波兰	Ba Lan
楚	sở
楚	sở
楛	gỗ
块	mảnh
塊	mảnh
奥斯曼男爵	Georges Eugène Haussmann
稻	lúa
稻米	lúa
米	lúa
商务垃圾邮件(UCE)	UCE
打字机	Máy chữ
UAC	UAC
王励勤	Vương Lệ Cần
居民许可证	đăng ký
居民许可证	đăng ký cư trú
安省	Ain
埃纳省	Aisne
达尔文	Darwin
嘲	giễu cợt
嘲	nhạo báng
嘲讽	giễu cợt
嘲讽	nhạo báng
奚落	giễu cợt
奚落	nhạo báng
娸	giễu cợt
娸	nhạo báng
恶损	giễu cợt
恶损	nhạo báng
悝	giễu cợt
悝	nhạo báng
揶揄	giễu cợt
揶揄	nhạo báng
耻笑	giễu cợt
耻笑	nhạo báng
讥刺	giễu cợt
讥刺	nhạo báng
讥讽	giễu cợt
讥讽	nhạo báng
讪	giễu cợt
讪	nhạo báng
诮	giễu cợt
诮	nhạo báng
调侃	giễu cợt
调侃	nhạo báng
谯	giễu cợt
谯	nhạo báng
巴拉圭夏令时间	Giờ Mùa Hè Paraguay
巴基斯坦标准时间	Giờ Chuẩn Pakistan
巴基斯坦时间	Giờ Pakistan
