'ad		1. (pron) Connacht form of agat	alt-of connacht
-blast		1. (suffix) -blast	masculine morpheme topic-cytology
-blastach		1. (suffix) -blastic	morpheme
-chan		1. (suffix) forms verbal nouns from first-conjugation verbs ending in -igh	masculine morpheme
-chruthach		1. (suffix) -shaped, -form	morpheme
-clast		1. (suffix) -clast	masculine morpheme
-cít		1. (suffix) -cyte	feminine morpheme
-da		1. (suffix) alternative form of -ga	alt-of alternative morpheme
-dóir		1. (suffix) alternative form of -adóir (suffix appended to words to create an agent noun)<br />EXAMPLE: gúna (“gown, dress”) + -dóir → gúnadóir (“dressmaker”)	alt-of alternative masculine morpheme
-e		1. (suffix) Used to form abstract nouns from adjectives<br />2. (suffix) alternative form of -ne (used after -nn in pronouns)<br />3. (suffix) Used to form the genitive singular of second-declension nouns<br />4. (suffix) Used to form the feminine genitive singular of first-declension adjectives<br />5. (suffix) Used to form the plural of certain nouns<br />6. (suffix) Used to form the comparative degree of adjectives	alt-of alternative feminine morpheme
-each		1. (suffix) slender form of -ach: forms nouns/adjectives from other nouns and adjectives with the sense of ‘person or thing connected or involved with, belonging to, having’<br />EXAMPLE: Spáinn (“Spain”) + -each → Spáinneach (“Spaniard; Spanish”)	masculine morpheme
-eadh		1. (suffix) slender form of -adh	morpheme
-eann		1. (suffix) alternative spelling of -ann (used after a slender consonant)<br />EXAMPLE: cuir + -eann → cuireann	alt-of alternative morpheme
-eas		1. (suffix) slender form of -as	masculine morpheme
-eochaidh		1. (suffix) Ulster and archaic form of -óidh	alt-of archaic morpheme ulster
-eog		1. (suffix) alternative spelling of -óg (used after slender consonants)	alt-of alternative feminine morpheme
-eoir		1. (suffix) alternative form of -óir (used after a slender consonant)	alt-of alternative masculine morpheme
-eán		1. (suffix) alternative spelling of -án (used after slender consonants)	alt-of alternative masculine morpheme
-fad		1. (suffix) First-person singular future ending	morpheme
-fadh		1. (suffix) Analytic ending of first-conjugation verbs in the conditional tense	morpheme
-fagach		1. (suffix) -phagous	morpheme
-faidh		1. (suffix) broad form of -fidh	morpheme
-far		1. (suffix) Autonomous ending of first conjugation verbs in the future tense	morpheme
-fas		1. (suffix) Relative ending of first conjugation verbs in the future tense	morpheme
-fead		1. (suffix) slender form of -fad	morpheme
-fidh		1. (suffix) Future analytic ending	morpheme
-fidís		1. (suffix) third-person plural ending of first conjugation verbs in the conditional mood	morpheme
-fileach		1. (suffix) -philic	morpheme
-fimid		1. (suffix) first-person plural future indicative ending of first conjugation verbs	morpheme
-fimis		1. (suffix) first-person plural ending of first conjugation verbs in the future indicative tenses	morpheme
-finn		1. (suffix) synthetic first person singular future tense ending in the first conjugation	morpheme
-fá		1. (suffix) synthetic second person singular ending of first conjugation verbs in the conditional mood	morpheme
-fí		1. (suffix) autonomous ending of first conjugation verbs in the conditional mood	morpheme
-fít		1. (suffix) -phyte	feminine morpheme
-fóbach		1. (suffix) -phobic	morpheme
-fóine		1. (suffix) -phony	feminine morpheme
-fón		1. (suffix) -phone	masculine morpheme
-ga		1. (suffix) Added to nouns to form adjectives.	morpheme
-gamacht		1. (suffix) -gamy	feminine morpheme
-gin		1. (suffix) -gen	feminine morpheme
-gineach		1. (suffix) -genic	morpheme
-gineacht		1. (suffix) -geny, -genicity, -geneity	feminine morpheme
-gineas		1. (suffix) -genesis	masculine morpheme
-giniteach		1. (suffix) genetic	morpheme
-giniúil		1. (suffix) -genous<br />2. (suffix) -gynous	morpheme uncommon
-graf		1. (suffix) -graph	masculine morpheme
-grafaíoch		1. (suffix) -graphic	morpheme
-grafaíocht		1. (suffix) -graphy	feminine morpheme
-gram		1. (suffix) -gram (something written, drawn or otherwise recorded)	masculine morpheme
-gán		1. (suffix) -gon	masculine morpheme
-iam		1. (suffix) -ium	masculine morpheme topic-chemistry
-ibh		1. (suffix) forms the dative plural of nouns<br />2. (suffix) forms the nominative and dative plural of fear (“man”) and mac (“son”)	archaic kerry morpheme
-idh		1. (suffix) Forms the historical present ending of verbs.<br />2. (suffix) Forms the present tense independent ending of verbs in Early Modern Irish.	morpheme obsolete
-idhe		1. (suffix) slender form of -aidhe: obsolete form of -í	morpheme
-idís		1. (suffix) third-person plural ending of first conjugation verbs in the past habitual indicative tense, past subjunctive mood, and imperative mood	morpheme
-igh		1. (suffix) Suffix used to form verbs from nouns; semi-productive in modern Irish.	morpheme
-igí		1. (suffix) second-person plural ending of first conjugation verbs in the imperative mood	morpheme
-im		1. (suffix) first-person singular present indicative and imperative ending of verbs	morpheme
-imid		1. (suffix) first-person plural present indicative and subjunctive ending of verbs	morpheme
-imis		1. (suffix) first-person plural ending of first conjugation verbs in the past habitual indicative tense, subjunctive mood, and imperative mood	morpheme
-in		1. (suffix) -in	feminine morpheme topic-biochemistry
-ine		1. (suffix) genitive of -in	feminine form-of genitive morpheme
-inn		1. (suffix) synthetic first person singular past habitual tense ending in the first conjugation<br />2. (suffix) synthetic first person singular past subjunctive ending in the first conjugation	morpheme
-ire		1. (suffix) alternative form of -aire (“-er, -or”, agentive suffix) after a slender consonant	alt-of alternative masculine morpheme
-is		1. (suffix) -ish, -ese (used to form language names)<br />2. (suffix) inflection of -eas:<br />3. (suffix) vocative/genitive singular<br />4. (suffix) nominative/dative plural	dative feminine form-of morpheme nominative plural
-ithe		1. (suffix) forms the past participle of verbs ending in -igh<br />2. (suffix) forms adjectives	morpheme
-itheoir		1. (suffix) alternative form of -óir (“-er”, agent noun suffix), used after verbs ending in -igh<br />EXAMPLE: cuidigh (“to help”) + -itheoir → cuiditheoir (“helper”)<br />EXAMPLE: tiomsaigh (“to collect, compile”) + -itheoir → tiomsaitheoir (“collector, compiler”)<br />EXAMPLE: tuismigh (“to procreate”) + -itheoir → tuismitheoir (“parent”)	alt-of alternative masculine morpheme
-iú		1. (suffix) slender form of -ú<br />EXAMPLE: Regular verbal noun of second-conjugation verbs, notably verbs in -igh.	masculine morpheme
-lann		1. (suffix) Forms nouns of place and location from other nouns, usually an enclosed space<br />EXAMPLE: -ary, -ery, center	feminine morpheme
-lathach		1. (suffix) -cratic	morpheme
-lathas		1. (suffix) -cracy	masculine morpheme
-lathaí		1. (suffix) -crat<br />2. (suffix) inflection of -lathach:<br />3. (suffix) genitive singular feminine<br />4. (suffix) comparative degree	comparative feminine form-of genitive masculine morpheme singular
-leipteach		1. (suffix) -leptic	morpheme
-lit		1. (suffix) -lith	feminine morpheme
-mhadh		1. (suffix) superseded spelling of -ú (ordinal suffix)	alt-of archaic morpheme
-mhar		1. (suffix) -y (added to nouns to form adjectives meaning “having the quality of”)	morpheme
-mid		1. (suffix) ending of first-person plural verb forms in the present indicative, future, and present subjunctive	morpheme
-morf		1. (suffix) -morph	masculine morpheme
-morfach		1. (suffix) -morphic	morpheme
-morfacht		1. (suffix) -morphism	feminine morpheme
-méadar		1. (suffix) -meter (measuring device)	masculine morpheme
-méadrach		1. (suffix) -metric	morpheme
-méadracht		1. (suffix) -metry	feminine morpheme
-méir		1. (suffix) -mer	feminine morpheme topic-chemistry
-na		1. (suffix) alternative form of -ne (used after velarized consonants and back vowels)	alt-of alternative morpheme
-nastacht		1. (suffix) -nasty	feminine morpheme topic-botany
-ne		1. (suffix) emphatic suffix of the first-person plural; used after palatalized consonants and front vowels	morpheme
-nn		1. (suffix) alternative form of -ann (used after a stressed broad vowel)<br />EXAMPLE: dóigh + -nn → dónn	alt-of alternative morpheme
-obach		1. (suffix) -tight	morpheme
-ocsacht		1. (suffix) -oxia	feminine morpheme topic-pathology
-oidhe		1. (suffix) obsolete spelling of -aí (“agent suffix”)	alt-of masculine morpheme obsolete
-paite		1. (suffix) -pathy	feminine morpheme
-pat		1. (suffix) -path	masculine morpheme
-patach		1. (suffix) -pathic<br />2. (suffix) -path	masculine morpheme rare
-pláise		1. (suffix) -plasia	feminine morpheme topic-medicine
-péine		1. (suffix) -penia	feminine morpheme
-pód		1. (suffix) -pod	masculine morpheme
-r		1. (suffix) A suffix added to certain preverbs and subordinating conjunctions when these occur with past tense verbs, and in the past/conditional copular form of these preverbs and conjunctions.	morpheme
-ra		1. (suffix) Collective suffix, attached to nouns or adjectives, used to form nouns: -ry, -y<br />EXAMPLE: milseog (“dessert”) + -ra → milseogra (“confectionery”)<br />EXAMPLE: glas (“green”) + -ra → glasra (“vegetable; originally “greenery”)	masculine morpheme
-radh		1. (suffix) dated spelling of -ra	masculine morpheme
-raidh		1. (suffix) genitive singular of -radh	form-of genitive morpheme obsolete singular
-sa		1. (suffix) emphatic suffix of the following persons; used after velarized consonants and back vowels:<br />2. (suffix) first-person singular<br />3. (suffix) second-person singular<br />4. (suffix) third-person singular feminine<br />5. (suffix) second-person plural	feminine first-person morpheme plural second-person singular third-person
-san		1. (suffix) emphatic suffix of the following persons; used after velarized consonants and back vowels<br />2. (suffix) third-person singular masculine<br />3. (suffix) third-person plural	masculine morpheme plural singular third-person
-scóp		1. (suffix) -scope	masculine morpheme
-scópacht		1. (suffix) -scopy	feminine morpheme
-se		1. (suffix) alternative form of -sa (used after palatalized consonants and front vowels:)	alt-of alternative morpheme
-sean		1. (suffix) alternative form of -san (used after palatalized consonants and front vowels)	alt-of alternative morpheme
-stóm		1. (suffix) -stome	masculine morpheme
-sóch		1. (suffix) -zoan, -zoic	morpheme
-sóm		1. (suffix) -some (body)	masculine morpheme
-t		1. (suffix) suffix forming a verbal noun, typically from verbs ending in -(a)il, -(a)in(g), or -(a)ir	feminine morpheme
-ta		1. (suffix) added to nouns to form adjectives<br />2. (suffix) used to form strong plural forms of nouns<br />3. (suffix) used to form the past participle of verbs<br />4. (suffix) genitive singular of -adh (verbal noun suffix)	form-of genitive morpheme singular
-tacht		1. (suffix) alternative form of -acht	alt-of alternative feminine morpheme
-tanas		1. (suffix) alternative form of -as	alt-of alternative masculine morpheme
-tar		1. (suffix) Autonomous ending of first conjugation verbs in the present tense, present subjunctive mood, and conditional mood	morpheme
-tas		1. (suffix) Nominal suffix, used to form abstract ideas or nouns	masculine morpheme
-te		1. (suffix) slender form of -ta (plural suffix)<br />2. (suffix) slender form of -ta (past participle suffix)	morpheme
-tha		1. (suffix) alternative form of -ta	alt-of alternative morpheme
-the		1. (suffix) slender form of -tha: alternative form of -ta (plural)<br />2. (suffix) slender form of -tha: alternative form of -ta (past participle)<br />3. (suffix) slender form of -tha: alternative form of -ta (genitive)	morpheme
-tigh		1. (suffix) alternative form of -igh	alt-of alternative morpheme
-traí		1. (suffix) Forms nouns indicating a kind of music that induces something.	feminine morpheme
-trófach		1. (suffix) -trophic	morpheme
-tróife		1. (suffix) -trophy	feminine morpheme
-trópach		1. (suffix) -tropic (turning or changing; affecting or attracted to the thing specified)	morpheme topic-sciences
-trópacht		1. (suffix) -tropy	feminine morpheme
-tá		1. (suffix) synthetic second person singular ending of first conjugation verbs in the past habitual tense	morpheme
-tí		1. (suffix) autonomous ending of first conjugation verbs in the habitual past tense	morpheme
-tóime		1. (suffix) -tomy	feminine morpheme
-tóir		1. (suffix) -er (suffix appended to words to create an agent noun, indicating a person who does (or a thing that does) something)<br />EXAMPLE: múin (“teach”, verb) + -tóir → múinteoir (“teacher”)<br />EXAMPLE: inneall (“engine”, noun) + -tóir → innealtóir (“engineer”)	masculine morpheme
-túil		1. (suffix) alternative form of -úil	alt-of alternative morpheme
-uas		1. (adv) above, up (combines with prefixes to form adverbs)	
-uidhe		1. (suffix) obsolete spelling of -aí (“agent suffix”)	alt-of masculine morpheme obsolete
-áil		1. (suffix) suffix used to form verbal nouns<br />EXAMPLE: fáil, formerly spelled fagháil, verbal noun of faigh (“to get”)<br />EXAMPLE: gabháil, verbal noun of gabh (“to take”)<br />2. (suffix) suffix used productively to form denominative verbs and their associated verbal nouns<br />EXAMPLE: iarann (“iron”) + -áil → iarnáil (“to iron”)<br />EXAMPLE: spág (“a big, clumsy foot”) + -áil → spágáil (“to shamble, trudge”)	feminine morpheme
-áis		1. (suffix) -ase	feminine morpheme
-áit		1. (suffix) -ate	feminine morpheme topic-sciences
-án		1. (suffix) A suffix used to derive instruments, diminutives, and other nouns from primary nouns.<br />2. (suffix) -ane	masculine morpheme topic-chemistry
-éad		1. (suffix) -ette, -et	masculine morpheme
-éin		1. (suffix) -ene	feminine morpheme topic-organic-chemistry
-éir		1. (suffix) -er (used to form agent nouns; used to indicate an occupation)	masculine morpheme
-í		1. (suffix) slender form of -aí (“plural suffix”)<br />EXAMPLE: ispín (“sausage”) + -í → ispíní (“sausages”)<br />2. (suffix) slender form of -aí (“agent suffix”)<br />EXAMPLE: oibrigh (“to work”) + -í → oibrí (“worker”)<br />3. (suffix) slender form of -aí (“adjective-forming suffix”)<br />EXAMPLE: fuil (“blood”) + -í → fuilí (“bloody”)<br />4. (suffix) slender form of -aí (“verbal-noun-forming suffix”)<br />EXAMPLE: éirigh (“to rise, become”) + -í → éirí (“rising, becoming”)	masculine morpheme
-ídís		1. (suffix) third-person plural ending of second conjugation verbs in the past habitual indicative tense, past subjunctive mood, and imperative mood	morpheme
-ígí		1. (suffix) second-person plural ending of second conjugation verbs in the imperative mood	morpheme
-ím		1. (suffix) synthetic first person singular present tense ending in the second conjugation	morpheme
-ímid		1. (suffix) first-person plural present indicative and subjunctive ending of second conjugation verbs	morpheme
-ímis		1. (suffix) first-person plural ending of second conjugation verbs in the past habitual indicative tense, subjunctive mood, and imperative mood	morpheme
-ín		1. (suffix) Suffix used to form diminutive nouns, sometimes with semantic shift from the original noun.<br />EXAMPLE: capall (“horse”) + -ín → capaillín (“pony”)<br />EXAMPLE: lacha (“duck”) + -ín → lachín (“duckling”)<br />EXAMPLE: pota (“pot”) + -ín → poitín (“poteen”)<br />EXAMPLE: teach (“house”) + -ín → teachín (“cottage”)<br />2. (suffix) -ine<br />EXAMPLE: aimín (“amine”)<br />EXAMPLE: anailín (“aniline”)<br />EXAMPLE: iaidín (“iodine”)	masculine morpheme topic-chemistry
-ínn		1. (suffix) synthetic first person singular ending of second conjugation verbs in the habitual past tense and the past subjunctive mood	morpheme
-íocht		1. (suffix) suffix forming abstract nouns from adjectives	feminine morpheme
-íodh		1. (suffix) Analytic ending of second conjugation verbs in the habitual past tense and the past subjunctive mood<br />2. (suffix) Autonomous ending of second conjugation verbs in the indicative past tense<br />3. (suffix) Third person singular ending of second conjugation verbs in the imperative mood	morpheme
-íomar		1. (suffix) first-person plural past indicative ending of second conjugation verbs	morpheme
-íonn		1. (suffix) analytic present tense ending of the second conjugation	morpheme
-íos		1. (suffix) Relative ending of second conjugation verbs in the present tense<br />2. (suffix) Synthetic first person singular ending if second conjugation verbs in the past tense	morpheme
-ít		1. (suffix) -ite	feminine morpheme
-ítear		1. (suffix) Autonomous ending of second conjugation verbs in the present tense, present subjunctive mood, and conditional mood	morpheme
-íteas		1. (suffix) -itis	masculine morpheme topic-pathology
-íteá		1. (suffix) synthetic second person singular ending of second conjugation verbs in the past habitual tense and past subjunctive mood	morpheme
-ítí		1. (suffix) Autonomous ending of second conjugation verbs in the past habitual tense and past subjunctive mood	morpheme
-óchaidh		1. (suffix) Ulster and archaic form of -óidh	alt-of archaic morpheme ulster
-ód		1. (suffix) synthetic first-person singular ending of second conjugation verbs in the future	morpheme
-ódh		1. (suffix) Forms the analytic form of the conditional mood of the second conjugation.	morpheme
-ófar		1. (suffix) Autonomous ending of second conjugation verbs in the future tense	morpheme
-ófaí		1. (suffix) autonomous ending of second conjugation verbs in the conditional mood	morpheme
-ófá		1. (suffix) synthetic second person singular ending of second conjugation verbs in the conditional mood	morpheme
-óg		1. (suffix) used to form diminutives of nouns, or substantive nouns out of nominal, verbal, or adjectival roots<br />EXAMPLE: ciar (“black”) + -óg → ciaróg (“beetle”)<br />EXAMPLE: leadhb (“strip”) + -óg → leadhbóg (“shred, tatter”)<br />EXAMPLE: milis (“sweet”) + -óg → milseog (“dessert”)<br />EXAMPLE: pit (“vulva, vagina”) + -óg → piteog (“effeminate man, sissy, queer”)<br />EXAMPLE: reoite (“frozen”) + -óg → reoiteog (“ice cream”)<br />EXAMPLE: scréach (“screech”) + -óg → scréachóg (“jay”)<br />EXAMPLE: straois (“grin, grimace”) + -óg → straoiseog (“smiley, emoticon”)	feminine morpheme
-óid		1. (suffix) -oid (having the likeness of)<br />2. (suffix) -ode (way, path)<br />3. (suffix) forms abstract nouns	feminine morpheme
-óideach		1. (suffix) -oid	masculine morpheme
-óidh		1. (suffix) Forms the analytic form of the future tense of the second conjugation.	morpheme
-óidís		1. (suffix) third-person plural ending of second conjugation verbs in the conditional mood	morpheme
-óimid		1. (suffix) first-person plural future indicative of second conjugation verbs	first-person form-of future indicative morpheme plural
-óimis		1. (suffix) first-person plural ending of second conjugation verbs in the conditional mood	morpheme
-óinn		1. (suffix) synthetic first person singular ending of second conjugation verbs in the conditional mood	morpheme
-óir		1. (suffix) -er; suffix appended to words to create an agent noun, indicating a person who does (or a thing that does) something.<br />EXAMPLE: bád (“boat”) + -óir → bádóir (“boatman”)<br />EXAMPLE: Béarla (“English”) + -óir → Béarlóir (“Anglophone, English-speaker”)<br />EXAMPLE: focal (“word”) + -óir → foclóir (“dictionary”)<br />EXAMPLE: loisc (“burn, scorch”) + -óir → loisceoir (“incinerator”)	masculine morpheme
-óis		1. (suffix) -osis<br />2. (suffix) inflection of -ós (“-ose”):<br />3. (suffix) vocative/genitive singular<br />4. (suffix) nominative/dative plural	dative feminine form-of masculine morpheme nominative plural topic-pathology
-óise		1. (suffix) genitive singular of -óis (“-osis”)	feminine form-of genitive morpheme singular
-óma		1. (suffix) -oma	masculine morpheme topic-pathology
-ós		1. (suffix) Relative ending of second conjugation verbs in the future tense<br />2. (suffix) -ose	masculine morpheme topic-chemistry
-ú		1. (suffix) Regular verbal noun of second-conjugation verbs, notably verbs in -aigh.<br />EXAMPLE: tosaigh (“begin”) + -ú → tosú (“commencement”)<br />EXAMPLE: uraigh (“eclipse”, verb) + -ú → urú (“eclipse”, noun)<br />2. (suffix) -th (suffix forming ordinal numbers)<br />EXAMPLE: ocht (“eight”) + -ú → ochtú (“eighth”)	masculine morpheme
-úil		1. (suffix) Used to form many adjective forms from nouns in Irish, the adjectives having the sense of "like or characteristic of what is denoted by the noun". Similar to English -ly.<br />EXAMPLE: fear (“man”) + -úil → fearúil (“manly”)<br />EXAMPLE: cairde (“friends”) + -úil → cairdiúil (“friendly”)	morpheme
-úint		1. (suffix) forms verbal nouns from verbs	feminine morpheme
-únas		1. (suffix) abstract suffix	masculine morpheme
-úr		1. (suffix) collective suffix, used to form groups of objects<br />EXAMPLE: duille (“leaf”) + -úr → duilliúr (“foliage”)	masculine morpheme
.i.		1. (adv) abbreviation of eadhon	abbreviation alt-of
1 Corantaigh		1. (name) 1 Corinthians, the first book of Corinthians and the seventh book in the New Testament of the Bible	masculine topic-bible topic-books-of-the-bible
1 Croinicí		1. (name) 1 Chronicles, the thirteenth book of the Old Testament of the Bible	masculine topic-bible topic-books-of-the-bible
1 Eoin		1. (name) 1 John, the twenty-third book of the New Testament of the Bible, the first epistle of John	masculine topic-bible topic-books-of-the-bible
1 Macabaeigh		1. (name) 1 Maccabees, the first book of Maccabees of the Old Testament Apocrypha	masculine topic-bible topic-books-of-the-bible
1 Peadar		1. (name) 1 Peter, the first epistle of Peter, the twenty-first book of the New Testament of the Bible	masculine topic-bible topic-books-of-the-bible
